"Tabela 9543 - Taxa de alfabetização das pessoas de 15 anos ou mais de idade por sexo, cor ou raça e grupos de idade"
"Variável - Taxa de alfabetização das pessoas de 15 anos ou mais de idade (%)"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Idade";"Ano x Sexo x Cor ou raça"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Idade";"2022"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Idade";"Total";;;;;;"Homens";;;;;;"Mulheres"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Idade";"Total";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total";"Branca";"Preta";"Amarela";"Parda";"Indígena"
"16";"Amapá";"35 a 44 anos";"95,75";"96,92";"95,58";"98,65";"95,53";"89,48";"95,10";"96,18";"94,65";"98,36";"94,94";"92,21";"96,37";"97,54";"96,68";"98,85";"96,08";"86,71"
"16";"Amapá";"45 a 54 anos";"91,46";"93,98";"90,77";"95,56";"90,97";"82,71";"90,47";"92,95";"88,88";"97,44";"90,21";"88,42";"92,41";"94,81";"93,11";"94,12";"91,70";"75,94"
"16";"Amapá";"55 a 64 anos";"84,70";"90,30";"80,71";"90,32";"84,11";"67,85";"84,46";"90,19";"79,34";"88,24";"84,18";"79,00";"84,93";"90,39";"82,37";"92,86";"84,05";"55,88"
"16";"Amapá";"65 anos ou mais";"72,61";"78,82";"68,94";"83,33";"71,57";"53,47";"74,30";"81,29";"69,36";"83,33";"73,64";"58,38";"71,09";"76,99";"68,48";"83,33";"69,67";"48,10"
"17";"Tocantins";"Total";"90,94";"93,54";"86,22";"94,02";"91,17";"84,45";"89,88";"92,86";"84,94";"93,41";"90,04";"89,14";"92,00";"94,19";"87,74";"94,46";"92,25";"79,84"
"17";"Tocantins";"15 a 19 anos";"98,64";"98,83";"98,39";"99,28";"98,68";"96,46";"98,24";"98,56";"97,85";"98,21";"98,26";"96,32";"99,05";"99,09";"99,00";"100,00";"99,11";"96,60"
"17";"Tocantins";"20 a 24 anos";"98,67";"98,77";"98,40";"98,69";"98,79";"94,98";"98,31";"98,54";"97,85";"96,36";"98,42";"95,17";"99,04";"99,00";"99,05";"100,00";"99,15";"94,79"
"17";"Tocantins";"25 a 34 anos";"98,05";"98,51";"97,74";"98,31";"98,05";"92,90";"97,45";"98,09";"97,04";"98,86";"97,36";"95,36";"98,62";"98,91";"98,56";"97,87";"98,68";"90,28"
"17";"Tocantins";"35 a 44 anos";"95,38";"97,03";"93,38";"97,74";"95,41";"81,84";"94,17";"96,16";"91,70";"97,30";"94,16";"89,45";"96,56";"97,84";"95,41";"98,02";"96,60";"74,44"
"17";"Tocantins";"45 a 54 anos";"90,21";"94,03";"85,16";"93,01";"90,11";"76,47";"88,15";"92,65";"82,71";"91,16";"87,92";"85,95";"92,27";"95,34";"88,21";"94,35";"92,21";"67,16"
"17";"Tocantins";"55 a 64 anos";"82,40";"89,87";"72,88";"87,70";"81,85";"62,88";"80,58";"88,87";"70,76";"91,18";"79,74";"73,02";"84,23";"90,88";"75,33";"84,97";"83,87";"53,52"
"17";"Tocantins";"65 anos ou mais";"65,19";"76,48";"49,95";"79,26";"64,08";"44,21";"64,91";"76,69";"49,34";"79,31";"63,87";"55,28";"65,48";"76,28";"50,65";"79,21";"64,28";"34,76"
